author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,utensils
Yingpin,Community Member,0,375,16,g,Easy,,Sichuan-style crispy pork belly,23,g,"pork belly,red bell pepper,green bell pepper,green onion,onion,garlic,ginger,fermented bean paste,sugar,red chili flakes,sweet bean sauce (Tian Mian Jiang),chili sauce,soy sauce,oil for frying,salt,pepper","['500', '1', '1', '1', '1', '3', '10', '2', '1', '2', '2', '1', '1', 0, 0, 0]","g,cloves,g,tbsp,tbsp,tsp,tbsp,tbsp,tbsp,,,,,,,",20,26,g,4.5,0,71,4,2,"slotted spoon,cutting board,knife,large pot,wok"
Lisa Schölzel,Senior Food Editor at Kitchen Stories,30,561,235,g,Medium,"“If you don’t own an oven with steam function, you can also prepare this dish using a regular oven (which will add approx.10 min. cooking time more). By adding additional steam, the bread dumplings will become moist and airy.”",Spinach and cheese dumplings with tomato-date sauce,117,g,"spinach,Parmesan cheese,tomato paste,soft dates,ciabatta breads,milk,eggs,onion,garlic,unsalted butter,breadcrumbs,water,white wine vinegar,onion powder,garlic powder,salt,Parmesan cheese (for garnish),parsley (for garnish)","['250', '50', '80', '60', '250', '125', '2', '1', '2', '100', '50', '60', '1', '0.5', '0.5', '0.25', 0, 0]","g,g,g,g,g,ml,cloves,g,g,ml,tbsp,tsp,tsp,tsp,,,,",25,77,g,5.0,30,17,4,6,"oven with steam function,2 cutting boards,2 knives,saucepan,2 bowls,whisk,large bowl,2 steaming tray,2 frying pans,fine grater,food processor"
Alex Hiller,Contributor,20,1079,140,g,Easy,,Original Italian Pizza,35,g,"all-purpose flour,dried yeast,lukewarm water,sugar,olive oil,garlic,onion,puréed tomatoes (canned),Buffalo mozzarella,arugula leaves,Parma ham,figs,salt,pepper,flour for work surface","['280', '7', '150', '4', '20', '1', '0.5', '250', '125', '20', '100', '3', 0, 0, 0]","g,g,ml,tsp,ml,clove,ml,g,g,g,,,,,",15,47,g,4.5,60,79,2,9,"measuring cup,mixer with dough hooks (optional),large bowl,kitchen towel,cutting board,knife,cooking spoon,small sauce pan,baking tray,oven,parchment paper,rolling pin,soup ladle"
Devan Grimsrud,Managing Editor at Kitchen Stories,165,1568,37,g,Easy,"“Based on a recipe in Smitten Kitchen Everyday by Deb Perelman, these sticky, umami, fall-off-the-bone ribs might not make it to the weeknight table, but make a great, hands-off meal for the weekend. They make a great case for eating more ribs outside of grilling season, and are so incredibly easy to make—they’re foolproof.”",5-ingredient honey-miso ribs,119,g,"pork ribs,white miso paste,honey,rice vinegar,scallions,salt,pepper,jasmine rice (for serving)","['2', '145', '80', '150', '10', 0, 0, 0]","kg,g,ml,ml,,,,",30,83,g,5.0,0,13,4,4,"knife,cutting board,oven,2 aluminum foil,bowl (small),paper towels,whisk,saucepan,pastry brush,tongs,pot"
Alex Hiller,Contributor,0,447,26,g,Easy,,Vietnamese-inspired noodle soup,27,g,"beef stock,stewing beef (e.g., chuck or shank),beef (loin),rice noodles (broad),carrot,garlic,ginger,green onions,fennel seed (ground),chilis,fish sauce,cilantro,salt,pepper,vegetable oil for frying","['1.5', '400', '300', '150', '1', '2', '2', '3', '1', '2', '50', '10', 0, 0, 0]","l,g,g,g,cloves,tbsp,stalks,tbsp,ml,g,,,,,",50,26,g,4.5,0,87,6,3,"cutting board,knife,large saucepan,cooking spoon"
Vanessa Pass,Contributor,0,428,44,g,Easy,,One-pot red pepper pasta with chicken,13,g,"chicken breasts (boneless, skinless),bacon,red bell peppers,cherry tomatoes,onion,garlic,olive oil,dried oregano,sugar,white wine,chicken broth,tomato purée,penne pasta,Parmesan cheese for serving,basil for serving,salt,pepper","['350', '100', '2', '100', '1', '1', '2', '1', '1', '150', '300', '500', '300', 0, 0, 0, 0]","g,g,g,clove,tbsp,tsp,tsp,ml,ml,ml,g,,,,,,",30,28,g,4.5,0,79,6,2,"pot,cooking spoon,cutting board,knife,fine grater"
Lisa,Contributor,0,709,113,g,Easy,,Spaghetti with lentil Bolognese,13,g,"red lentils,garlic,onion,carrot,clarified butter,tomato paste,red wine,vegetable stock,bay leaves,canned crushed tomatoes,spaghetti,sugar,salt,pepper,Parmesan cheese for serving,basil for serving","['200', '1', '1', '1', '2', '2', '150', '400', '2', '600', '500', '1.5', 0, 0, 0, 0]","g,clove,tbsp,tbsp,ml,ml,g,g,tsp,,,,,,,",30,26,g,4.5,0,71,4,4,"cutting board,knife,frying pan,cooking spoon,pot,strainer,grater"
Johanna Reder,Test Kitchen Manager and Chef at Kitchen Stories,0,749,112,g,Easy,"“I love to cook dishes by color and this yellow gazpacho is the best example for it! The soup's base is sweet corn, but the yellow tomatoes enhance the typical sweet and sour taste of a gazpacho. I'd recommend to prepare this soup a day in advance. When it rests overnight, all the flavors can develop even more and you can enjoy the most delicious gazpacho!”",Sweet corn gazpacho,23,g,"sweet corn (cooked),yellow bell pepper,chili,onion,cucumber,garlic,yellow tomatoes,olive oil,white wine vinegar,water,basil,croutons,yogurt,salt,pepper,yogurt (for serving),olive oil (for serving)","['4', '1', '1', '1', '0.5', '1', '250', '2', '2', '200', '2', '50', '4', 0, 0, 0, 0]","cobs,clove,g,tbsp,tbsp,ml,sprigs,g,tbsp,,,,,,,,",15,19,g,4.5,60,27,2,3,"2 cutting boards,2 knives,peeler,blender"
Alex Hiller,Contributor,0,763,50,g,Easy,,Chicken and cheddar quesadillas with salad,40,g,"wheat tortillas,chicken breasts,cheddar (shredded),bell pepper (red),cucumber,cilantro,limes (zest + juice),mint,red onion,green  onions,avocado,yogurt,corn,paprika powder,oil for frying and greasing,salt,pepper","['4', '2', '250', '2', '1', '20', '2', '20', '1', '3', '1', '100', '100', '2', 0, 0, 0]","g,g,g,g,g,tbsp,,,,,,,,,,,",30,48,g,4.5,0,92,4,4,"mixing bowl,fine grater,citrus press,cutting board,knife,large frying pan"
Enikö Gruber,Contributor,30,983,82,g,Medium,,"Pumpkin gnocchi with sage butter, walnuts, and smoked bacon",66,g,"Hokkaido pumpkin,sage,walnuts,smoked bacon (diced),potatoes,potato starch,cornmeal,Parmesan cheese (grated),egg yolk,ricotta cheese,garlic,olive oil,butter,salt,pepper,ground caraway,ground nutmeg,flour for dusting","['1', '20', '70', '150', '300', '200', '8', '50', '1', '1', '2', '1', '50', 0, 0, 0, 0, 0]","kg,leaves,g,g,g,g,tbsp,g,tbsp,cloves,tbsp,g,,,,,,",60,15,g,5.0,0,33,4,7,"baking sheet,oven,cutting board,knife,peeler,potato masher,pot,large bowl,colander,garlic press,immersion blender,rubber spatula,slotted spoon,large frying pan,cooking spoon,grater"
